dataset,dev,test
bbh,0.3726566241203267,7.603316075496823
codex,0.6223200671374798,0.7275301003576936
gsm8k,1.0037856772542,9.327366125773443
tydiqa,2.9331088529692755,2.5958797294115996
mmlu_pro,1.9775652076516832,6.146571267851965
