dataset,method,num_samples,seed,true_metric
bbh,LESS (KNN-KDE),2500,0,60.054337884301034
bbh,LESS (KNN-KDE),2500,1,60.25014635546554
bbh,LESS (KNN-KDE),2500,2,59.56428150500348
bbh,LESS (KNN-KDE),5000,0,60.4504705723223
bbh,LESS (KNN-KDE),5000,1,59.61933975468911
bbh,LESS (KNN-KDE),5000,2,60.69350011872261
bbh,LESS (KNN-KDE),10000,0,60.68211174632056
bbh,LESS (KNN-KDE),10000,1,60.58593021268285
bbh,LESS (KNN-KDE),10000,2,60.99531307058762
codex,Random,500,0,79.72972972972973
codex,Random,500,1,76.35135135135135
codex,Random,500,2,80.4054054054054
codex,Random,1000,0,76.35135135135135
codex,Random,1000,1,79.72972972972973
codex,Random,1000,2,75.67567567567568
codex,Random,2500,0,80.4054054054054
codex,Random,2500,1,75.0
codex,Random,2500,2,76.35135135135135
codex,Random,5000,0,73.64864864864865
codex,Random,5000,1,73.64864864864865
codex,Random,5000,2,76.35135135135135
codex,Random,10000,0,74.32432432432432
codex,Random,10000,1,75.0
codex,Random,10000,2,73.64864864864865
codex,EMBED (RR),500,0,73.64864864864865
codex,EMBED (RR),500,1,76.35135135135135
codex,EMBED (RR),500,2,73.64864864864865
codex,EMBED (RR),1000,0,78.37837837837837
codex,EMBED (RR),1000,1,75.0
codex,EMBED (RR),1000,2,75.0
codex,EMBED (RR),2500,0,72.97297297297297
codex,EMBED (RR),2500,1,75.67567567567568
codex,EMBED (RR),2500,2,72.2972972972973
codex,EMBED (RR),5000,0,72.97297297297297
codex,EMBED (RR),5000,1,75.67567567567568
codex,EMBED (RR),5000,2,74.32432432432432
codex,EMBED (RR),10000,0,73.64864864864865
codex,EMBED (RR),10000,1,74.32432432432432
codex,EMBED (RR),10000,2,74.32432432432432
codex,RDS+ (RR),500,0,74.32432432432432
codex,RDS+ (RR),500,1,76.35135135135135
codex,RDS+ (RR),500,2,79.72972972972973
codex,RDS+ (RR),1000,0,80.4054054054054
codex,RDS+ (RR),1000,1,77.02702702702703
codex,RDS+ (RR),1000,2,76.35135135135135
codex,RDS+ (RR),2500,0,76.35135135135135
codex,RDS+ (RR),2500,1,79.05405405405406
codex,RDS+ (RR),2500,2,79.72972972972973
codex,RDS+ (RR),5000,0,77.02702702702703
codex,RDS+ (RR),5000,1,76.35135135135135
codex,RDS+ (RR),5000,2,79.72972972972973
codex,RDS+ (RR),10000,0,76.35135135135135
codex,RDS+ (RR),10000,1,73.64864864864865
codex,RDS+ (RR),10000,2,75.67567567567568
codex,LESS (DG),500,0,68.91891891891892
codex,LESS (DG),500,1,71.62162162162163
codex,LESS (DG),500,2,67.56756756756756
codex,LESS (DG),1000,0,72.2972972972973
codex,LESS (DG),1000,1,71.62162162162163
codex,LESS (DG),1000,2,72.97297297297297
codex,LESS (DG),2500,0,77.7027027027027
codex,LESS (DG),2500,1,77.02702702702703
codex,LESS (DG),2500,2,77.7027027027027
codex,LESS (DG),5000,0,77.7027027027027
codex,LESS (DG),5000,1,71.62162162162163
codex,LESS (DG),5000,2,77.7027027027027
codex,LESS (DG),10000,0,78.37837837837837
codex,LESS (DG),10000,1,74.32432432432432
codex,LESS (DG),10000,2,74.32432432432432
codex,LESS (UOT),500,0,70.27027027027027
codex,LESS (UOT),500,1,70.94594594594594
codex,LESS (UOT),500,2,70.94594594594594
codex,LESS (UOT),1000,0,75.0
codex,LESS (UOT),1000,1,74.32432432432432
codex,LESS (UOT),1000,2,76.35135135135135
codex,LESS (UOT),2500,0,74.32432432432432
codex,LESS (UOT),2500,1,78.37837837837837
codex,LESS (UOT),2500,2,74.32432432432432
codex,LESS (UOT),5000,0,72.2972972972973
codex,LESS (UOT),5000,1,73.64864864864865
codex,LESS (UOT),5000,2,75.67567567567568
codex,LESS (UOT),10000,0,75.0
codex,LESS (UOT),10000,1,71.62162162162163
codex,LESS (UOT),10000,2,75.67567567567568
codex,LESS (RR),500,0,72.2972972972973
codex,LESS (RR),500,1,72.97297297297297
codex,LESS (RR),500,2,70.94594594594594
codex,LESS (RR),1000,0,72.97297297297297
codex,LESS (RR),1000,1,71.62162162162163
codex,LESS (RR),1000,2,75.67567567567568
codex,LESS (RR),2500,0,78.37837837837837
codex,LESS (RR),2500,1,79.05405405405406
codex,LESS (RR),2500,2,75.67567567567568
codex,LESS (RR),5000,0,77.02702702702703
codex,LESS (RR),5000,1,79.05405405405406
codex,LESS (RR),5000,2,72.97297297297297
codex,LESS (RR),10000,0,77.7027027027027
codex,LESS (RR),10000,1,75.67567567567568
codex,LESS (RR),10000,2,72.97297297297297
codex,LESS (KNN-Unif.),500,0,70.94594594594594
codex,LESS (KNN-Unif.),500,1,75.0
codex,LESS (KNN-Unif.),500,2,74.32432432432432
codex,LESS (KNN-Unif.),1000,0,70.94594594594594
codex,LESS (KNN-Unif.),1000,1,72.2972972972973
codex,LESS (KNN-Unif.),1000,2,70.94594594594594
codex,LESS (KNN-Unif.),2500,0,79.05405405405406
codex,LESS (KNN-Unif.),2500,1,75.67567567567568
codex,LESS (KNN-Unif.),2500,2,73.64864864864865
codex,LESS (KNN-Unif.),5000,0,75.67567567567568
codex,LESS (KNN-Unif.),5000,1,70.94594594594594
codex,LESS (KNN-Unif.),5000,2,75.67567567567568
codex,LESS (KNN-Unif.),10000,0,72.2972972972973
codex,LESS (KNN-Unif.),10000,1,74.32432432432432
codex,LESS (KNN-Unif.),10000,2,76.35135135135135
codex,LESS (KNN-KDE),500,0,67.56756756756756
codex,LESS (KNN-KDE),500,1,73.64864864864865
codex,LESS (KNN-KDE),500,2,72.97297297297297
codex,LESS (KNN-KDE),1000,0,75.0
codex,LESS (KNN-KDE),1000,1,72.2972972972973
codex,LESS (KNN-KDE),1000,2,72.2972972972973
codex,LESS (KNN-KDE),2500,0,77.7027027027027
codex,LESS (KNN-KDE),2500,1,74.32432432432432
codex,LESS (KNN-KDE),2500,2,75.67567567567568
codex,LESS (KNN-KDE),5000,0,75.0
codex,LESS (KNN-KDE),5000,1,75.0
codex,LESS (KNN-KDE),5000,2,77.7027027027027
codex,LESS (KNN-KDE),10000,0,73.64864864864865
codex,LESS (KNN-KDE),10000,1,78.37837837837837
codex,LESS (KNN-KDE),10000,2,75.0
gsm8k,Random,500,0,70.20470053070508
gsm8k,Random,500,1,71.1144806671721
gsm8k,Random,500,2,72.47915087187263
gsm8k,Random,1000,0,70.35633055344958
gsm8k,Random,1000,1,70.28051554207732
gsm8k,Random,1000,2,70.50796057619408
gsm8k,Random,2500,0,71.1144806671721
gsm8k,Random,2500,1,71.49355572403337
gsm8k,Random,2500,2,70.73540561031083
gsm8k,Random,5000,0,72.10007581501138
gsm8k,Random,5000,1,72.10007581501138
gsm8k,Random,5000,2,70.58377558756634
gsm8k,Random,10000,0,71.72100075815011
gsm8k,Random,10000,1,72.47915087187263
gsm8k,Random,10000,2,71.4177407126611
gsm8k,EMBED (RR),500,0,69.59818043972706
gsm8k,EMBED (RR),500,1,69.82562547384383
gsm8k,EMBED (RR),500,2,68.99166034874905
gsm8k,EMBED (RR),1000,0,69.67399545109932
gsm8k,EMBED (RR),1000,1,68.23351023502654
gsm8k,EMBED (RR),1000,2,68.7642153146323
gsm8k,EMBED (RR),2500,0,68.68840030326004
gsm8k,EMBED (RR),2500,1,69.67399545109932
gsm8k,EMBED (RR),2500,2,68.91584533737681
gsm8k,EMBED (RR),5000,0,69.67399545109932
gsm8k,EMBED (RR),5000,1,69.74981046247157
gsm8k,EMBED (RR),5000,2,70.58377558756634
gsm8k,EMBED (RR),10000,0,70.20470053070508
gsm8k,EMBED (RR),10000,1,70.88703563305533
gsm8k,EMBED (RR),10000,2,70.58377558756634
gsm8k,RDS+ (RR),500,0,65.50416982562547
gsm8k,RDS+ (RR),500,1,65.95905989385898
gsm8k,RDS+ (RR),500,2,65.42835481425323
gsm8k,RDS+ (RR),1000,0,69.52236542835482
gsm8k,RDS+ (RR),1000,1,69.67399545109932
gsm8k,RDS+ (RR),1000,2,70.20470053070508
