dataset,dev,test
bbh,0.3760889807233104,6.604348943660454
codex,0.5825569797307253,0.7011636109972322
gsm8k,1.1575948745012283,8.409576033533659
tydiqa,2.6675467756059437,2.587611948898488
mmlu_pro,1.9736626071589334,5.363530937384101
