dataset,method,num_samples,dev,test,seed
bbh,LESS (RR),1000,0.34033352637916436,7.096069248979349,0
bbh,LESS (RR),1000,0.3425791006029388,6.923781891889679,1
bbh,LESS (RR),1000,0.339464171157207,6.928893503029946,2
bbh,LESS (RR),2500,0.33903400218229235,7.143417308277806,0
bbh,LESS (RR),2500,0.3400041242532524,7.090568788561325,1
bbh,LESS (RR),2500,0.33831426087352967,6.958409040996949,2
bbh,LESS (RR),5000,0.34831253848510024,7.400218154351076,0
bbh,LESS (RR),5000,0.34544447841651643,7.444267964485768,1
bbh,LESS (RR),5000,0.35110692781062774,7.533286108058492,2
bbh,LESS (RR),10000,0.35107594618090876,7.622819697430305,0
bbh,LESS (RR),10000,0.35390181338161597,7.781391106064172,1
bbh,LESS (RR),10000,0.3525099956235032,7.590470013613343,2
bbh,LESS (UOT),500,0.3466042857847096,6.17271600175043,0
bbh,LESS (UOT),500,0.34725890092459727,6.153284107118209,1
bbh,LESS (UOT),500,0.3487079457184415,6.206383268366467,2
bbh,LESS (UOT),1000,0.3453758711248268,6.827150635987708,0
bbh,LESS (UOT),1000,0.3455779891875055,6.9499546045386245,1
bbh,LESS (UOT),1000,0.3465631906816989,6.851140742028406,2
bbh,LESS (UOT),2500,0.3517282483294422,7.614895559926312,0
bbh,LESS (UOT),2500,0.3490714918316146,7.577262820854767,1
bbh,LESS (UOT),2500,0.3515649773180485,7.524286236004645,2
bbh,LESS (UOT),5000,0.35658302038540074,7.643260127982499,0
bbh,LESS (UOT),5000,0.3552781274013313,7.697679860913027,1
bbh,LESS (UOT),5000,0.3583361954416758,7.741927597301564,2
bbh,LESS (UOT),10000,0.3605465710531046,7.955433929246649,0
bbh,LESS (UOT),10000,0.35951719092734064,7.991878811343806,1
bbh,LESS (UOT),10000,0.3613524418094276,7.752222121439301,2
bbh,RDS+ (RR),500,0.36752256797051724,8.112800049902638,0
bbh,RDS+ (RR),500,0.36588105338591115,8.244727494264048,1
bbh,RDS+ (RR),500,0.36511201393089177,8.199159718625392,2
bbh,RDS+ (RR),1000,0.3622501271282449,8.481187577750015,0
bbh,RDS+ (RR),1000,0.3630892885044033,8.401851907356454,1
bbh,RDS+ (RR),1000,0.3645236353263443,8.478474126801734,2
bbh,RDS+ (RR),2500,0.3711937103466487,8.780512806933846,0
bbh,RDS+ (RR),2500,0.3696618397478704,8.748958612546597,1
bbh,RDS+ (RR),2500,0.3735835267529811,8.638525387719376,2
bbh,RDS+ (RR),5000,0.3767408643055845,8.918705542897541,0
bbh,RDS+ (RR),5000,0.37672760498560504,9.106329090454999,1
bbh,RDS+ (RR),5000,0.3772169639022998,8.953536987808182,2
bbh,RDS+ (RR),10000,0.3786919149627656,9.049554756619271,0
bbh,RDS+ (RR),10000,0.37659981938791864,9.242252315267992,1
bbh,RDS+ (RR),10000,0.3785022097973176,8.802589522274458,2
bbh,Random,500,0.3808778646275585,6.346211415348908,0
bbh,Random,500,0.3807859383523464,6.2385146283843405,1
bbh,Random,500,0.38079450789977004,6.31231116304711,2
bbh,Random,1000,0.37900590620659014,6.350888134770049,0
bbh,Random,1000,0.3708579377443702,6.4688071737621184,1
bbh,Random,1000,0.37648288781444234,6.3380332088263565,2
bbh,Random,2500,0.3691985866077888,6.938247173653827,0
bbh,Random,2500,0.3682317896573632,6.818418020990436,1
bbh,Random,2500,0.37031297588054046,6.933103516874107,2
bbh,Random,5000,0.35965520336672113,6.998251561863304,0
bbh,Random,5000,0.3632774989546081,6.887287223362883,1
bbh,Random,5000,0.364181833686652,6.737805692725899,2
bbh,Random,10000,0.35847543170790613,6.967908293526031,0
bbh,Random,10000,0.3620131663794135,6.831489031984224,1
bbh,Random,10000,0.355319713966714,6.76933485219197,2
codex,EMBED (RR),500,0.695129020139575,0.8253151039416725,0
codex,EMBED (RR),500,0.6929881852120161,0.8241218597300954,1
codex,EMBED (RR),500,0.6875606030225754,0.8154176953877952,2
codex,EMBED (RR),1000,0.6936727743595839,0.8182890289337248,0
codex,EMBED (RR),1000,0.6950692739337683,0.8224571177081482,1
codex,EMBED (RR),1000,0.713523181155324,0.8364288265237937,2
codex,EMBED (RR),2500,0.7336313184350729,0.8692236371539734,0
codex,EMBED (RR),2500,0.7461823131889105,0.877420236633436,1
codex,EMBED (RR),2500,0.7483587395399809,0.8807191266804129,2
codex,EMBED (RR),5000,0.7540761940181255,0.88244804337218,0
codex,EMBED (RR),5000,0.7620052993297577,0.88850586146519,1
codex,EMBED (RR),5000,0.7694195378571749,0.8925429236244511,2
codex,EMBED (RR),10000,0.7672293279320002,0.8896635314701377,0
codex,EMBED (RR),10000,0.7518914472311735,0.8811853050782874,1
codex,EMBED (RR),10000,0.7539364546537399,0.8797107368103556,2
codex,LESS (DG),500,0.4971100529655814,0.6408459792870123,0
codex,LESS (DG),500,0.4876147583127022,0.6348467529625506,1
codex,LESS (DG),500,0.49334048107266426,0.6382658589329269,2
codex,LESS (DG),1000,0.49516247399151325,0.6444320817654198,0
codex,LESS (DG),1000,0.49329481087625027,0.6455562329171477,1
codex,LESS (DG),1000,0.5098942257463932,0.6589486893971224,2
codex,LESS (DG),2500,0.5521498546004295,0.7095175927152505,0
codex,LESS (DG),2500,0.5686941593885422,0.7244629669632461,1
codex,LESS (DG),2500,0.5223143976181746,0.6923502718878759,2
codex,LESS (DG),5000,0.5914537105709314,0.7555394780796927,0
codex,LESS (DG),5000,0.585244745016098,0.7530471458024269,1
codex,LESS (DG),5000,0.574251800775528,0.7374711735425769,2
codex,LESS (DG),10000,0.5766270365566015,0.75340242955733,0
