dataset,method,num_samples,seed,true_metric
bbh,LESS (KNN-KDE),2500,0,40.70955077061787
bbh,LESS (KNN-KDE),2500,1,40.91437419827174
bbh,LESS (KNN-KDE),2500,2,40.92071831803292
bbh,LESS (KNN-KDE),5000,0,42.154617364877296
bbh,LESS (KNN-KDE),5000,1,42.73427668202089
bbh,LESS (KNN-KDE),5000,2,42.23077403093519
bbh,LESS (KNN-KDE),10000,0,43.0588208345653
bbh,LESS (KNN-KDE),10000,1,42.70320449254073
bbh,LESS (KNN-KDE),10000,2,42.81875294882202
codex,Random,500,0,30.405405405405407
codex,Random,500,1,29.72972972972973
codex,Random,500,2,29.054054054054053
codex,Random,1000,0,29.054054054054053
codex,Random,1000,1,24.324324324324326
codex,Random,1000,2,25.675675675675674
codex,Random,2500,0,28.37837837837838
codex,Random,2500,1,31.756756756756754
codex,Random,2500,2,31.08108108108108
codex,Random,5000,0,25.675675675675674
codex,Random,5000,1,28.37837837837838
codex,Random,5000,2,27.7027027027027
codex,Random,10000,0,29.72972972972973
codex,Random,10000,1,32.432432432432435
codex,Random,10000,2,29.72972972972973
codex,EMBED (RR),500,0,28.37837837837838
codex,EMBED (RR),500,1,29.72972972972973
codex,EMBED (RR),500,2,29.72972972972973
codex,EMBED (RR),1000,0,31.756756756756754
codex,EMBED (RR),1000,1,29.054054054054053
codex,EMBED (RR),1000,2,27.7027027027027
codex,EMBED (RR),2500,0,29.72972972972973
codex,EMBED (RR),2500,1,26.351351351351347
codex,EMBED (RR),2500,2,30.405405405405407
codex,EMBED (RR),5000,0,30.405405405405407
codex,EMBED (RR),5000,1,29.054054054054053
codex,EMBED (RR),5000,2,29.054054054054053
codex,EMBED (RR),10000,0,27.7027027027027
codex,EMBED (RR),10000,1,29.72972972972973
codex,EMBED (RR),10000,2,28.37837837837838
codex,RDS+ (RR),500,0,27.027027027027028
codex,RDS+ (RR),500,1,33.108108108108105
codex,RDS+ (RR),500,2,27.7027027027027
codex,RDS+ (RR),1000,0,27.027027027027028
codex,RDS+ (RR),1000,1,25.0
codex,RDS+ (RR),1000,2,31.08108108108108
codex,RDS+ (RR),2500,0,31.756756756756754
codex,RDS+ (RR),2500,1,30.405405405405407
codex,RDS+ (RR),2500,2,25.675675675675674
codex,RDS+ (RR),5000,0,29.054054054054053
codex,RDS+ (RR),5000,1,31.756756756756754
codex,RDS+ (RR),5000,2,31.756756756756754
codex,RDS+ (RR),10000,0,28.37837837837838
codex,RDS+ (RR),10000,1,31.08108108108108
codex,RDS+ (RR),10000,2,29.72972972972973
codex,LESS (DG),500,0,23.64864864864865
codex,LESS (DG),500,1,24.324324324324326
codex,LESS (DG),500,2,22.972972972972975
codex,LESS (DG),1000,0,21.62162162162162
codex,LESS (DG),1000,1,27.7027027027027
codex,LESS (DG),1000,2,25.675675675675674
codex,LESS (DG),2500,0,27.7027027027027
codex,LESS (DG),2500,1,25.0
codex,LESS (DG),2500,2,23.64864864864865
codex,LESS (DG),5000,0,24.324324324324326
codex,LESS (DG),5000,1,24.324324324324326
codex,LESS (DG),5000,2,27.027027027027028
codex,LESS (DG),10000,0,25.0
codex,LESS (DG),10000,1,26.351351351351347
codex,LESS (DG),10000,2,27.027027027027028
codex,LESS (UOT),500,0,22.972972972972975
codex,LESS (UOT),500,1,21.62162162162162
codex,LESS (UOT),500,2,22.972972972972975
codex,LESS (UOT),1000,0,24.324324324324326
codex,LESS (UOT),1000,1,25.0
codex,LESS (UOT),1000,2,25.0
codex,LESS (UOT),2500,0,25.675675675675674
codex,LESS (UOT),2500,1,24.324324324324326
codex,LESS (UOT),2500,2,25.0
codex,LESS (UOT),5000,0,24.324324324324326
codex,LESS (UOT),5000,1,25.675675675675674
codex,LESS (UOT),5000,2,25.675675675675674
codex,LESS (UOT),10000,0,27.7027027027027
codex,LESS (UOT),10000,1,27.027027027027028
codex,LESS (UOT),10000,2,22.972972972972975
codex,LESS (RR),500,0,23.64864864864865
codex,LESS (RR),500,1,26.351351351351347
codex,LESS (RR),500,2,25.675675675675674
codex,LESS (RR),1000,0,25.0
codex,LESS (RR),1000,1,22.972972972972975
codex,LESS (RR),1000,2,27.027027027027028
codex,LESS (RR),2500,0,24.324324324324326
codex,LESS (RR),2500,1,25.675675675675674
codex,LESS (RR),2500,2,25.0
codex,LESS (RR),5000,0,26.351351351351347
codex,LESS (RR),5000,1,22.2972972972973
codex,LESS (RR),5000,2,25.0
codex,LESS (RR),10000,0,27.027027027027028
codex,LESS (RR),10000,1,25.675675675675674
codex,LESS (RR),10000,2,27.027027027027028
codex,LESS (KNN-Unif.),500,0,20.945945945945947
codex,LESS (KNN-Unif.),500,1,27.027027027027028
codex,LESS (KNN-Unif.),500,2,29.054054054054053
codex,LESS (KNN-Unif.),1000,0,21.62162162162162
codex,LESS (KNN-Unif.),1000,1,25.0
codex,LESS (KNN-Unif.),1000,2,23.64864864864865
codex,LESS (KNN-Unif.),2500,0,23.64864864864865
codex,LESS (KNN-Unif.),2500,1,22.972972972972975
codex,LESS (KNN-Unif.),2500,2,23.64864864864865
codex,LESS (KNN-Unif.),5000,0,22.972972972972975
codex,LESS (KNN-Unif.),5000,1,25.675675675675674
codex,LESS (KNN-Unif.),5000,2,28.37837837837838
codex,LESS (KNN-Unif.),10000,0,31.08108108108108
codex,LESS (KNN-Unif.),10000,1,26.351351351351347
codex,LESS (KNN-Unif.),10000,2,28.37837837837838
codex,LESS (KNN-KDE),500,0,22.972972972972975
codex,LESS (KNN-KDE),500,1,25.0
codex,LESS (KNN-KDE),500,2,17.56756756756757
codex,LESS (KNN-KDE),1000,0,25.675675675675674
codex,LESS (KNN-KDE),1000,1,27.7027027027027
codex,LESS (KNN-KDE),1000,2,21.62162162162162
codex,LESS (KNN-KDE),2500,0,23.64864864864865
codex,LESS (KNN-KDE),2500,1,25.675675675675674
codex,LESS (KNN-KDE),2500,2,22.972972972972975
codex,LESS (KNN-KDE),5000,0,28.37837837837838
codex,LESS (KNN-KDE),5000,1,25.675675675675674
codex,LESS (KNN-KDE),5000,2,26.351351351351347
codex,LESS (KNN-KDE),10000,0,27.027027027027028
codex,LESS (KNN-KDE),10000,1,28.37837837837838
codex,LESS (KNN-KDE),10000,2,29.054054054054053
