dataset,dev,test
bbh,0.2956457247520671,4.017167101933868
codex,0.9511651545763016,0.9651782412988108
gsm8k,0.957031786441803,3.9364057375320076
tydiqa,1.3220536841286554,1.332789151068804
mmlu_pro,1.9224268615245819,9.99994291170956
