dataset,method,num_samples,dev,test,seed
bbh,LESS (KNN-Unif.),2500,0.3236080805920524,7.353194569446509,0
bbh,LESS (KNN-Unif.),2500,0.3235354684753182,7.318405439695845,1
bbh,LESS (KNN-Unif.),2500,0.32197343788029237,7.297232090538867,2
bbh,LESS (KNN-Unif.),5000,0.3097430277661777,7.340394178113892,0
bbh,LESS (KNN-Unif.),5000,0.3098598660234316,7.29942833604653,1
bbh,LESS (KNN-Unif.),5000,0.308781993402927,7.219274197987304,2
bbh,LESS (KNN-Unif.),10000,0.31265317565864986,7.258297389314538,0
bbh,LESS (KNN-Unif.),10000,0.31211592914697567,7.184889580381024,1
bbh,LESS (KNN-Unif.),10000,0.31324901891711315,7.19647519246277,2
bbh,LESS (RR),500,0.32556147767621796,5.9965622823664235,0
bbh,LESS (RR),500,0.3232521586764006,6.082617864404071,1
bbh,LESS (RR),500,0.3247257189158304,6.0001655270511005,2
bbh,LESS (RR),1000,0.31933992020325896,6.5303296254190535,0
bbh,LESS (RR),1000,0.3185188987372834,6.531125498759071,1
bbh,LESS (RR),1000,0.319529122132578,6.43705501275904,2
bbh,LESS (RR),2500,0.3148268262545268,7.0958252715233225,0
bbh,LESS (RR),2500,0.3132445079584916,7.00171526849517,1
bbh,LESS (RR),2500,0.3135375149180124,7.183427622883647,2
bbh,LESS (RR),5000,0.31636656213689734,7.05133879275352,0
bbh,LESS (RR),5000,0.31802953499150866,7.042775279538933,1
bbh,LESS (RR),5000,0.31632672084702385,7.032894788817718,2
bbh,LESS (RR),10000,0.3185817106270496,6.935111768581482,0
bbh,LESS (RR),10000,0.3183994787158789,7.232247181704765,1
bbh,LESS (RR),10000,0.32048724771097853,7.151261268920236,2
bbh,LESS (UOT),500,0.3302314732177758,5.960459120096726,0
bbh,LESS (UOT),500,0.33103576822229375,5.876371166221265,1
bbh,LESS (UOT),500,0.330991411006745,6.0510591951644725,2
bbh,LESS (UOT),1000,0.3267499701476391,6.563080801591769,0
bbh,LESS (UOT),1000,0.32399771652287906,6.518060960558735,1
bbh,LESS (UOT),1000,0.3268504112407013,6.605520488131598,2
bbh,LESS (UOT),2500,0.3181834505112083,7.377346722784176,0
bbh,LESS (UOT),2500,0.3160187955715774,7.197167633215488,1
bbh,LESS (UOT),2500,0.31623297120318,7.219750586119578,2
bbh,LESS (UOT),5000,0.31054956038241033,7.272131684637165,0
bbh,LESS (UOT),5000,0.3126261880000432,7.184675631829257,1
bbh,LESS (UOT),5000,0.31015869188639855,7.145721357047439,2
bbh,LESS (UOT),10000,0.3158595487475395,7.277377924846259,0
bbh,LESS (UOT),10000,0.31687567852161547,7.183696167596454,1
bbh,LESS (UOT),10000,0.31468484900247906,7.29203389748654,2
bbh,RDS+ (RR),500,0.34119566019486497,6.65380864950062,0
bbh,RDS+ (RR),500,0.33859189149038293,6.5476414657759605,1
bbh,RDS+ (RR),500,0.3396287000749582,6.633060151568354,2
bbh,RDS+ (RR),1000,0.338786814223837,6.798271490716107,0
bbh,RDS+ (RR),1000,0.3373487643253656,6.791774227988645,1
