dataset,method,num_samples,seed,true_metric
bbh,LESS (KNN-KDE),2500,0,63.1751229455111
bbh,LESS (KNN-KDE),2500,1,63.313587632337466
bbh,LESS (KNN-KDE),2500,2,63.24649146689365
bbh,LESS (KNN-KDE),5000,0,63.712506730638175
bbh,LESS (KNN-KDE),5000,1,63.68818292447116
bbh,LESS (KNN-KDE),5000,2,63.87906298481134
bbh,LESS (KNN-KDE),10000,0,64.67517671135631
bbh,LESS (KNN-KDE),10000,1,64.46372941205125
bbh,LESS (KNN-KDE),10000,2,64.87536066206403
codex,Random,500,0,85.8108108108108
codex,Random,500,1,81.75675675675676
codex,Random,500,2,81.08108108108108
codex,Random,1000,0,79.72972972972973
codex,Random,1000,1,81.08108108108108
codex,Random,1000,2,81.08108108108108
codex,Random,2500,0,83.1081081081081
codex,Random,2500,1,82.43243243243244
codex,Random,2500,2,83.1081081081081
codex,Random,5000,0,81.08108108108108
codex,Random,5000,1,81.75675675675676
codex,Random,5000,2,83.1081081081081
codex,Random,10000,0,83.1081081081081
codex,Random,10000,1,80.4054054054054
codex,Random,10000,2,84.45945945945947
codex,EMBED (RR),500,0,85.8108108108108
codex,EMBED (RR),500,1,83.78378378378379
codex,EMBED (RR),500,2,85.13513513513513
codex,EMBED (RR),1000,0,83.1081081081081
codex,EMBED (RR),1000,1,84.45945945945947
codex,EMBED (RR),1000,2,83.78378378378379
codex,EMBED (RR),2500,0,83.78378378378379
codex,EMBED (RR),2500,1,85.8108108108108
codex,EMBED (RR),2500,2,81.75675675675676
codex,EMBED (RR),5000,0,82.43243243243244
codex,EMBED (RR),5000,1,83.78378378378379
codex,EMBED (RR),5000,2,80.4054054054054
codex,EMBED (RR),10000,0,83.1081081081081
codex,EMBED (RR),10000,1,78.37837837837837
codex,EMBED (RR),10000,2,85.13513513513513
codex,RDS+ (RR),500,0,87.16216216216216
codex,RDS+ (RR),500,1,83.78378378378379
codex,RDS+ (RR),500,2,85.8108108108108
codex,RDS+ (RR),1000,0,85.8108108108108
codex,RDS+ (RR),1000,1,85.8108108108108
codex,RDS+ (RR),1000,2,80.4054054054054
codex,RDS+ (RR),2500,0,83.1081081081081
codex,RDS+ (RR),2500,1,83.78378378378379
codex,RDS+ (RR),2500,2,85.8108108108108
codex,RDS+ (RR),5000,0,86.48648648648648
codex,RDS+ (RR),5000,1,77.7027027027027
codex,RDS+ (RR),5000,2,84.45945945945947
codex,RDS+ (RR),10000,0,81.08108108108108
codex,RDS+ (RR),10000,1,81.75675675675676
codex,RDS+ (RR),10000,2,82.43243243243244
codex,LESS (DG),500,0,83.1081081081081
codex,LESS (DG),500,1,81.75675675675676
codex,LESS (DG),500,2,83.1081081081081
codex,LESS (DG),1000,0,81.08108108108108
codex,LESS (DG),1000,1,79.72972972972973
codex,LESS (DG),1000,2,78.37837837837837
codex,LESS (DG),2500,0,83.1081081081081
codex,LESS (DG),2500,1,82.43243243243244
codex,LESS (DG),2500,2,80.4054054054054
codex,LESS (DG),5000,0,79.72972972972973
codex,LESS (DG),5000,1,79.72972972972973
codex,LESS (DG),5000,2,83.78378378378379
codex,LESS (DG),10000,0,83.78378378378379
codex,LESS (DG),10000,1,79.05405405405406
codex,LESS (DG),10000,2,84.45945945945947
codex,LESS (UOT),500,0,82.43243243243244
codex,LESS (UOT),500,1,83.1081081081081
codex,LESS (UOT),500,2,83.1081081081081
codex,LESS (UOT),1000,0,80.4054054054054
codex,LESS (UOT),1000,1,79.72972972972973
codex,LESS (UOT),1000,2,75.67567567567568
