dataset,dev,test
bbh,0.3374629164183581,6.540843430046587
codex,0.8237231001257896,0.9101614471827004
gsm8k,1.0033366084098816,8.672029384977444
tydiqa,2.6681512594223022,2.1764467761759945
mmlu_pro,1.8255742345537458,5.989963363182355
