dataset,method,num_samples,seed,true_metric
bbh,LESS (KNN-KDE),2500,0,71.16189134689981
bbh,LESS (KNN-KDE),2500,1,70.87069982144814
bbh,LESS (KNN-KDE),2500,2,71.5104000740412
bbh,LESS (KNN-KDE),5000,0,71.33382744135943
bbh,LESS (KNN-KDE),5000,1,71.04369812439599
bbh,LESS (KNN-KDE),5000,2,71.33017069322153
bbh,LESS (KNN-KDE),10000,0,71.32529328937807
bbh,LESS (KNN-KDE),10000,1,71.48497985556538
bbh,LESS (KNN-KDE),10000,2,71.38030893366299
codex,Random,500,0,90.54054054054053
codex,Random,500,1,88.51351351351352
codex,Random,500,2,91.8918918918919
codex,Random,1000,0,91.21621621621621
codex,Random,1000,1,93.24324324324324
codex,Random,1000,2,90.54054054054053
codex,Random,2500,0,91.21621621621621
codex,Random,2500,1,93.24324324324324
codex,Random,2500,2,93.91891891891892
codex,Random,5000,0,89.86486486486487
codex,Random,5000,1,93.91891891891892
codex,Random,5000,2,93.24324324324324
codex,Random,10000,0,92.56756756756756
codex,Random,10000,1,90.54054054054053
codex,Random,10000,2,93.91891891891892
codex,EMBED (RR),500,0,89.1891891891892
codex,EMBED (RR),500,1,92.56756756756756
codex,EMBED (RR),500,2,93.24324324324324
codex,EMBED (RR),1000,0,94.5945945945946
codex,EMBED (RR),1000,1,91.8918918918919
codex,EMBED (RR),1000,2,92.56756756756756
codex,EMBED (RR),2500,0,91.8918918918919
codex,EMBED (RR),2500,1,91.8918918918919
codex,EMBED (RR),2500,2,92.56756756756756
codex,EMBED (RR),5000,0,91.8918918918919
codex,EMBED (RR),5000,1,91.8918918918919
codex,EMBED (RR),5000,2,91.8918918918919
codex,EMBED (RR),10000,0,91.8918918918919
codex,EMBED (RR),10000,1,90.54054054054053
codex,EMBED (RR),10000,2,89.1891891891892
codex,RDS+ (RR),500,0,89.1891891891892
codex,RDS+ (RR),500,1,91.21621621621621
codex,RDS+ (RR),500,2,91.8918918918919
codex,RDS+ (RR),1000,0,92.56756756756756
codex,RDS+ (RR),1000,1,89.86486486486487
codex,RDS+ (RR),1000,2,91.21621621621621
codex,RDS+ (RR),2500,0,93.24324324324324
codex,RDS+ (RR),2500,1,91.21621621621621
codex,RDS+ (RR),2500,2,89.1891891891892
codex,RDS+ (RR),5000,0,89.86486486486487
codex,RDS+ (RR),5000,1,93.24324324324324
