dataset,dev,test
bbh,0.3622636583024337,7.083723161539492
codex,0.9035748094320297,0.920030368542349
gsm8k,0.8797313943505287,6.77664428953875
tydiqa,2.448491440878974,1.9659688627805583
mmlu_pro,1.8248255337987627,5.853906385422229
